microns,grit1,grit2,preference,trialdate,egg1,egg2,calcPI
0,smooth,smooth,-0.182539683,nov2,447,309,-0.182539683
0,smooth,smooth,0.111612176,nov2,394,493,0.111612176
0,smooth,smooth,-0.003690037,nov10,408,405,-0.003690037
0,smooth,smooth,0.246220302,nov10,349,577,0.246220302
0,smooth,smooth,-0.066548358,nov11,601,526,-0.066548358
0,smooth,smooth,-0.195544554,nov11,483,325,-0.195544554
0,smooth,smooth,0.235543018,nov16,271,438,0.235543018
0,smooth,smooth,0.088461538,nov17,474,566,0.088461538
0,smooth,smooth,-0.031007752,nov23,399,375,-0.031007752
0,smooth,smooth,0.039473684,nov23,438,474,0.039473684
0,smooth,smooth,-0.142520612,nov24,485,364,-0.142520612
0,smooth,smooth,0.2,nov30,380,570,0.2
0,smooth,smooth,-0.243469175,dec1,595,362,-0.243469175
0,smooth,smooth,0.098743268,dec7,502,612,0.098743268
0,smooth,smooth,-0.310572687,dec14,595,313,-0.310572687
0,smooth,smooth,0.159541189,dec15,403,556,0.159541189
0,smooth,smooth,-0.071180556,dec22,617,535,-0.071180556
0,smooth,smooth,0.104395604,dec23,489,603,0.104395604
30.2,smooth,P500,0.1021611,nov16,457,561,0.1021611
30.2,smooth,P500,0.299009901,nov16,354,656,0.299009901
30.2,smooth,P500,0.418556701,nov16,282,688,0.418556701
30.2,smooth,P500,0.269510926,nov23,351,610,0.269510926
30.2,smooth,P500,0.736434109,nov23,102,672,0.736434109
30.2,smooth,P500,0.054448871,nov23,356,397,0.054448871
30.2,smooth,P500,0.408977556,nov24,237,565,0.408977556
30.2,smooth,P500,0.25701459,nov24,331,560,0.25701459
30.2,smooth,P500,0.366,nov30,317,683,0.366
30.2,smooth,P500,0.188118812,nov30,410,600,0.188118812
30.2,smooth,P500,0.237347295,dec7,392,744,0.309859155
30.2,smooth,P500,0.309859155,dec7,375,713,0.310661765
30.2,smooth,P500,0.310661765,dec7,437,709,0.237347295
30.2,smooth,P500,0.158878505,dec14,450,620,0.158878505
30.2,smooth,P500,0.009174312,dec14,486,495,0.009174312
30.2,smooth,P500,0.202714165,dec23,470,709,0.202714165
30.2,smooth,P500,0.321047527,dec23,350,681,0.321047527
30.2,smooth,P500,0.493996569,dec23,295,871,0.493996569
30.2,smooth,P500,0.466666667,dec23,264,726,0.466666667
35,smooth,P400,0.099502488,nov11,362,442,0.099502488
35,smooth,P400,0.074954296,nov11,506,588,0.074954296
35,smooth,P400,0.1561051,nov11,273,374,0.1561051
35,smooth,P400,0.305882353,nov16,295,555,0.305882353
35,smooth,P400,0.148594378,nov16,424,572,0.148594378
35,smooth,P400,0.048275862,nov23,414,456,0.048275862
35,smooth,P400,0.507119387,nov23,225,688,0.507119387
35,smooth,P400,0.190211346,nov24,364,535,0.190211346
35,smooth,P400,0.342503439,nov24,239,488,0.342503439
35,smooth,P400,0.194906954,nov30,411,610,0.194906954
35,smooth,P400,-0.014285714,nov30,497,483,-0.014285714
35,smooth,P400,0.274885845,dec7,397,698,0.274885845
35,smooth,P400,-0.008746356,dec7,519,510,-0.008746356
35,smooth,P400,0.482529118,dec7,311,891,0.482529118
35,smooth,P400,0.435114504,dec15,222,564,0.435114504
35,smooth,P400,0.453051643,dec15,233,619,0.453051643
35,smooth,P400,0.062039958,dec15,446,505,0.062039958
35,smooth,P400,0.425366695,dec22,333,826,0.425366695
35,smooth,P400,0.26987682,dec22,326,567,0.26987682
35,smooth,P400,0.679214403,dec22,196,1026,0.679214403
35,smooth,P400,0.374784111,dec22,362,796,0.374784111
40.5,smooth,P360,0.447470817,nov16,284,744,0.447470817
40.5,smooth,P360,0.643255295,nov16,160,737,0.643255295
40.5,smooth,P360,0.367906067,nov16,323,699,0.367906067
40.5,smooth,P360,0.254736842,nov17,354,596,0.254736842
40.5,smooth,P360,0.169340463,nov17,466,656,0.169340463
40.5,smooth,P360,0.463636364,nov23,236,644,0.463636364
40.5,smooth,P360,0.413092551,nov23,260,626,0.413092551
40.5,smooth,P360,0.356913183,nov23,300,633,0.356913183
40.5,smooth,P360,0.558589306,nov24,194,685,0.558589306
40.5,smooth,P360,0.367977528,nov24,225,487,0.367977528
40.5,smooth,P360,0.542012927,dec7,248,835,0.542012927
40.5,smooth,P360,0.496919918,dec7,245,729,0.496919918
40.5,smooth,P360,0.549800797,dec7,226,778,0.549800797
40.5,smooth,P360,0.282398453,dec14,371,663,0.282398453
40.5,smooth,P360,0.198480532,dec14,422,631,0.198480532
40.5,smooth,P360,0.133891213,dec14,414,542,0.133891213
40.5,smooth,P360,0.319047619,dec15,286,554,0.319047619
40.5,smooth,P360,0.501057082,dec15,236,710,0.501057082
40.5,smooth,P360,0.297196262,dec22,376,694,0.297196262
40.5,smooth,P360,0.561818182,dec22,241,859,0.561818182
40.5,smooth,P360,0.45520362,dec22,301,804,0.45520362
40.5,smooth,P360,0.471929825,dec22,301,839,0.471929825
40.5,smooth,P360,0.500515996,dec23,242,727,0.500515996
40.5,smooth,P360,0.491525424,dec23,285,836,0.491525424
40.5,smooth,P360,0.349177331,dec23,356,738,0.349177331
40.5,smooth,P360,0.257518797,dec23,395,669,0.257518797
46.2,smooth,P320,0.640535373,nov10,188,858,0.640535373
46.2,smooth,P320,0.814651368,nov10,105,1028,0.814651368
