plate,microns_left,microns_right,microns_difference,right_no_mid,left_no_mid,middle_right,middle_left,midline_only,PI_with_mid,PI_without_mid,middle_proportion
150vsm_1,92,0,92,94,387,26,83,0,0.593220339,0.609147609,0.184745763
150vsm_2,92,0,92,52,288,12,140,0,0.739837398,0.694117647,0.308943089
150vsm_3,92,0,92,13,348,54,76,0,0.727087576,0.927977839,0.264765784
150vsm_4,92,0,92,111,310,68,79,0,0.36971831,0.472684086,0.258802817
150vsm_5,92,0,92,39,393,101,93,1,0.552715655,0.819444444,0.309904153
150vP400_1,92,35,57,28,300,30,64,0,0.725118483,0.829268293,0.222748815
150vP400_2,92,35,57,85,342,20,78,0,0.6,0.601873536,0.186666667
150vP400_3,92,35,57,168,233,21,70,0,0.231707317,0.162094763,0.18495935
150vP400_4,92,35,57,221,294,7,102,0,0.269230769,0.141747573,0.174679487
150vP400_5,92,35,57,33,445,14,131,0,0.849117175,0.861924686,0.232744783
150vP320_1,92,46,46,87,210,43,33,0,0.302949062,0.414141414,0.203753351
150vP320_2,92,46,46,53,318,60,56,0,0.535934292,0.714285714,0.238193018
150vP320_3,92,46,46,144,282,81,43,0,0.181818182,0.323943662,0.225454545
150vP320_4,92,46,46,68,151,8,69,0,0.486486486,0.378995434,0.260135135
150vP320_5,92,46,46,144,271,57,72,3,0.261029412,0.306024096,0.237132353
150vP220_1,92,68,24,389,173,60,16,0,-0.407523511,-0.384341637,0.119122257
150vP220_2,92,68,24,154,235,44,42,0,0.166315789,0.208226221,0.181052632
150vP220_3,92,68,24,216,375,28,65,0,0.286549708,0.269035533,0.135964912
150vP220_4,92,68,24,193,296,36,49,0,0.202090592,0.210633947,0.148083624
150vP220_5,92,68,24,98,394,20,61,0,0.588132635,0.601626016,0.141361257
80vsm_1,190,0,190,15,521,7,53,0,0.926174497,0.944029851,0.100671141
80vsm_2,190,0,190,7,461,10,60,0,0.936802974,0.97008547,0.130111524
80vsm_3,190,0,190,14,405,17,64,0,0.876,0.933174224,0.162
80vsm_4,190,0,190,12,505,32,82,0,0.860538827,0.953578337,0.18066561
80vsm_5,190,0,190,14,479,36,74,0,0.834162521,0.943204868,0.182421227
80vP400_1,190,35,155,12,517,3,79,1,0.950900164,0.95463138,0.134206219
80vP400_2,190,35,155,6,526,1,84,0,0.977309562,0.977443609,0.137763371
80vP400_3,190,35,155,8,297,16,53,0,0.871657754,0.947540984,0.184491979
80vP400_4,190,35,155,38,390,11,94,0,0.816135084,0.822429907,0.196998124
80vP400_5,190,35,155,52,334,4,58,0,0.75,0.730569948,0.138392857
80vP320_1,190,46,144,58,516,11,53,0,0.78369906,0.797909408,0.10031348
80vP320_2,190,46,144,0,480,3,80,0,0.989342806,1,0.147424512
80vP320_3,190,46,144,37,410,13,122,0,0.828178694,0.834451902,0.231958763
80vP320_4,190,46,144,16,364,5,71,0,0.907894737,0.915789474,0.166666667
80vP320_5,190,46,144,34,455,22,68,0,0.80656304,0.860940695,0.155440415
80vP220_1,190,68,122,61,441,19,93,0,0.739413681,0.756972112,0.182410423
80vP220_2,190,68,122,13,509,6,74,0,0.936877076,0.950191571,0.132890365
80vP220_3,190,68,122,4,334,11,72,0,0.928741093,0.976331361,0.197149644
80vP220_4,190,68,122,9,493,13,49,0,0.921985816,0.964143426,0.109929078
80vP220_5,190,68,122,4,287,1,74,0,0.972677596,0.972508591,0.204918033
80v150_1,190,92,98,65,350,10,66,0,0.694501018,0.686746988,0.154786151
80v150_2,190,92,98,114,322,13,49,0,0.489959839,0.47706422,0.124497992
80v150_3,190,92,98,99,355,16,70,0,0.574074074,0.563876652,0.159259259
80v150_4,190,92,98,48,416,30,64,0,0.720430108,0.793103448,0.168458781
80v150_5,190,92,98,56,288,6,59,0,0.696821516,0.674418605,0.158924205
P220vsm_1,68,0,68,64,221,6,103,0,0.644670051,0.550877193,0.276649746
P220vsm_2,68,0,68,96,179,83,67,0,0.157647059,0.301818182,0.352941176
P220vsm_3,68,0,68,113,192,157,37,0,-0.082164329,0.259016393,0.388777555
P220vsm_4,68,0,68,61,247,73,167,1,0.510948905,0.603896104,0.437956204
P220vsm_5,68,0,68,61,302,135,69,0,0.308641975,0.663911846,0.35978836
P220vP400_1,68,35,33,100,326,37,59,0,0.475095785,0.530516432,0.183908046
P220vP400_2,68,35,33,149,189,108,36,0,-0.066390041,0.118343195,0.298755187
P220vP400_3,68,35,33,114,324,73,39,0,0.32,0.479452055,0.203636364
P220vP400_4,68,35,33,130,161,80,70,0,0.047619048,0.10652921,0.340136054
P220vP400_5,68,35,33,244,190,93,69,0,-0.130872483,-0.124423963,0.271812081
P220vP320_1,68,46,22,74,425,31,21,0,0.618874773,0.703406814,0.094373866
P220vP320_2,68,46,22,145,230,9,38,0,0.27014218,0.226666667,0.111374408
P220vP320_3,68,46,22,225,325,63,41,0,0.119266055,0.181818182,0.159021407
P220vP320_4,68,46,22,182,213,38,76,0,0.135559921,0.078481013,0.223968566
P220vP320_5,68,46,22,86,270,45,64,3,0.43655914,0.516853933,0.234408602
P320vsm_1,46,0,46,98,273,54,21,0,0.31838565,0.471698113,0.168161435
P320vsm_2,46,0,46,126,307,45,29,0,0.325443787,0.418013857,0.145956607
P320vsm_3,46,0,46,196,262,108,24,0,-0.030508475,0.144104803,0.223728814
P320vsm_4,46,0,46,208,142,105,42,0,-0.259557344,-0.188571429,0.295774648
P320vsm_5,46,0,46,165,102,47,65,1,-0.118733509,-0.235955056,0.295514512
P320vP400_1,46,35,11,258,175,26,139,0,0.050167224,-0.191685912,0.275919732
P320vP400_2,46,35,11,215,239,53,52,0,0.041144902,0.052863436,0.18783542
P320vP400_3,46,35,11,284,133,123,101,0,-0.269890796,-0.362110312,0.349453978
P320vP400_4,46,35,11,240,67,99,70,0,-0.424369748,-0.563517915,0.355042017
P320vP400_5,46,35,11,268,211,101,45,0,-0.1808,-0.118997912,0.2336
P400vsm_1,35,0,35,107,195,84,92,0,0.20083682,0.291390728,0.368200837
P400vsm_2,35,0,35,179,206,58,128,0,0.169877408,0.07012987,0.325744308
P400vsm_3,35,0,35,168,223,87,137,0,0.170731707,0.140664962,0.364227642
P400vsm_4,35,0,35,139,279,31,122,0,0.404553415,0.33492823,0.267950963
